t:     3900, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 1]:  0.0000000000
t:     3900, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 1]:  0.0000000000
t:     4000, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:     4000, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:     4000, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 3][ 2]:  2.0000000000
t:     4100, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 0][ 1]:  2.0000000000
t:     4100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 1]:  0.0000000000
t:     4100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 1]:  0.0000000000
t:     4200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:     4200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:     4200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0186349768, novoW[ 3][ 2]:  0.0372699536
t:     4300, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:     4300, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:     4300, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0064983503, novoW[ 3][ 2]:  0.0129967006
t:     4400, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 0][ 1]:  2.0000000000
t:     4400, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 1]:  0.0000000000
t:     4400, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 1]:  0.0000000000
t:     4500, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:     4500, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:     4500, treinos(rede):  12, erro:  0.0000000000, txap:  1.0000000000, delta:  0.6052709222, novoW[ 3][ 2]:  1.2105418444
t:     4600, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:     4600, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:     4600, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 2][ 3]:  2.0000000000
t:     4700, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0114532728, novoW[ 0][ 1]:  0.0229752976
t:     4700, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 1]:  0.0000000000
t:     4700, treinos(rede):   0, erro:  0.0060028732, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 1]:  0.0000000000
t:     4800, treinos(rede):   2, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0777199268, novoW[ 1][ 0]:  0.1554398537
t:     4800, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 0]:  0.0000000000
t:     4800, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 0]:  0.0000000000
t:     4900, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 2]:  0.0000000000
t:     4900, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 2]:  0.0000000000
t:     4900, treinos(rede):   1, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0505605005, novoW[ 3][ 2]:  0.1011210009
t:     5000, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:     5000, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:     5000, treinos(rede):  20, erro:  0.0000000000, txap:  1.0000000000, delta:  1.0000000000, novoW[ 2][ 3]:  2.0000000000
t:     5100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 0][ 3]:  0.0000000000
t:     5100, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 1][ 3]:  0.0000000000
t:     5100, treinos(rede):   7, erro:  0.0000000000, txap:  1.0000000000, delta:  0.3421846330, novoW[ 2][ 3]:  0.6843692660
t:     5200, treinos(rede):   7, erro:  0.0000000000, txap:  1.0000000000, delta:  0.3559213281, novoW[ 0][ 1]:  0.7118426561
t:     5200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 2][ 1]:  0.0000000000
t:     5200, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0000000000, novoW[ 3][ 1]:  0.0000000000
t:     5300, treinos(rede):   0, erro:  0.0000000000, txap:  1.0000000000, delta:  0.0099556781, novoW[ 1][ 0]:  0.0199113563
